[2024-09-06 03:29:28,448: INFO: main: welcome to our custom log]
[2024-09-06 03:31:16,647: INFO: main: welcome to our custom log]
[2024-09-06 04:22:07,295: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-06 04:22:07,302: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-06 04:24:30,647: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-06 04:24:30,652: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-06 04:36:16,426: INFO: 460397805: Config file path: config\config.yaml]
[2024-09-06 04:36:16,429: INFO: 460397805: Params file path: params.yaml]
[2024-09-06 04:37:25,384: INFO: 2106499315: yaml file: config\config.yaml loaded successfully]
[2024-09-06 04:37:25,390: INFO: 2106499315: yaml file: params.yaml loaded successfully]
[2024-09-06 04:42:11,787: INFO: 460397805: Config file path: config\config.yaml]
[2024-09-06 04:42:11,789: INFO: 460397805: Params file path: params.yaml]
[2024-09-06 04:45:16,125: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-06 04:45:16,134: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-06 04:45:16,153: INFO: common: created directory at: artifacts]
[2024-09-06 04:45:16,158: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-06 04:45:16,163: INFO: 986331348: Downloading data from https://drive.google.com/file/d/10dnmMZRMhhKhADtONxKALT3xMGHR4f9R/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-06 04:45:28,577: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/10dnmMZRMhhKhADtONxKALT3xMGHR4f9R/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
